plID,plDateAdded,plDateModified,plCategory,plName,plTags,plStreet,plCity,plRegion,plPostcode,plCountry,plLat,plLon,plPhone,plHyperlink,plComments,plClosed
1,13/04/2013,13/04/2013,materials,Paperpoint,"paper, stock, store",259 Coventry St,South Melbourne,VIC,3205,Australia,-37.832344,144.959266,03 9682 9414,http://www.paperpoint.com.au,,
2,13/04/2013,13/04/2013,printerBinder,Whites Law Bindery,"printing, UV printing, offset, binding, finishing",802-804 Glenhuntly Rd,Caulfield South,VIC,3162,Australia,-37.88721,145.022539,03 9523 6026,http://www.whiteslaw.com.au,,
3,13/04/2013,13/04/2013,printerBinder,Print Corner,"printing, plan printing, binding",1/153A High Street,Prahran,VIC,3181,Australia,-37.851399,144.992279,03 9533 9999,http://printcorner.com.au,,
4,13/04/2013,13/04/2013,printerBinder,Dinkums,"printing, risograph printing, plan printing, binding",460 Swanston St,Carlton,VIC,3053,Australia,-37.806111,144.963302,03 9349 4355,http://www.dinkums.com.au,,
5,13/04/2013,13/04/2013,materials,K.W.Doggett,"paper, stock, store, supplier",67 Gower Street,Preston,VIC,3072,Australia,-37.743892,145.027456,"03 8470 2222 (sales), 03 8470 2299 (retail shop)",http://www.kwdoggett.com.au,,
6,13/04/2013,13/04/2013,binder,J.P. Bookbinders,binding,2/21 Barry St,Bayswater,VIC,3153,Australia,-37.846009,145.275815,03 9720 2226,http://www.yellowpages.com.au/vic/bayswater/jp-bookbinders-pty-ltd-14693257-listing.html,,
7,13/04/2013,13/04/2013,binder,Bound to Impress,"binding, equipment, supplies",16 Spencer St,Sunshine West,VIC,3020,Australia,-37.812682,144.814814,03 9982 1895,http://www.boundtoimpress.com.au,,
8,13/04/2013,13/04/2013,printerBinder,Classic Colour Copy,"UV printing, binding, A1 scanning",540 Elizabeth St,Melbourne,VIC,3000,Australia,-37.805456,144.959337,03 9349 1199,http://www.classic-colour.com.au,,
9,14/04/2013,14/04/2013,photo,CPL Services,"photographic printing, film processing, giclee printing",117 Thistlethwaite Street,South Melbourne,VIC,3205,Australia,-37.832723,144.949894,03 8376 8376,http://www.cpldigital.com.au,,
10,14/04/2013,14/04/2013,printer,Creffield (South Melbourne),"printing, colourwave toner printing, plan printing",180 Coventry Street,South Melbourne,VIC,3205,Australia,-37.830758,144.963969,03 9690 1322,http://www.creffielddigitalprint.com.au,,
11,14/04/2013,14/04/2013,printerBinder,Copy Captain,"printing, plan printing, binding",393 Clarendon Street,South Melbourne,VIC,3205,Australia,-37.83667,144.962336,03 9696 1525,http://copycaptain.com.au,,
12,14/04/2013,5/07/2017,printer,Creffield (West Melbourne),"printing, colourwave toner printing, plan printing",456 Spencer Street,West Melbourne,VIC,3003,Australia,-37.8095175,144.9498702,03 9329 5177,http://www.creffielddigitalprint.com.au,,
13,14/04/2013,16/01/2017,printerBinder,Documents on Call,"printing, binding, die cutting, laser cutting",2B Parker Street,Footscray,VIC,3011,Australia,-37.807164,144.904896,03 9687 7555,https://www.facebook.com/documents.oncall/,,
14,14/04/2013,14/04/2013,printer,Art 57,"printing, plan printing",213-219 Buckley St,Essendon,VIC,3040,Australia,-37.756365,144.908159,03 9337 1999,http://www.art57.com.au,,
15,14/04/2013,14/04/2013,photo,Bond Imaging,"photographic printing, film processing",4 Gwynne St,Richmond,VIC,3121,Australia,-37.826803,144.993444,03 9429 1299,http://www.bondimaging.com.au,,
16,14/04/2013,14/04/2013,printer,The Hungry Workshop,letterpress printing,461 High St,Northcote,VIC,3070,Australia,-37.766531,144.998921,03 9043 8444,http://thehungryworkshop.com.au,,
17,14/04/2013,14/04/2013,binder,Irwin & McLaren,binding,64 Cubitt St,Cremorne,VIC,3121,Australia,-37.827883,144.992315,03 9428 5829,http://www.irwinandmclaren.com.au,,
18,14/04/2013,14/04/2013,signage,Alpha Lewis Signs,"signage, lightbox, 3D lettering, vinyl",242 Dryburgh St,North Melbourne,VIC,3051,Australia,-37.800862,144.944183,03 9329 1244,http://www.alphalewissigns.com.au,,
19,15/04/2013,15/04/2013,binder,A. Amendola: Bookbinders of Distinction,binding,Princes Hwy,Trafalgar,VIC,3824,Australia,-38.206789,146.160588,0409 210 301,,,
20,15/04/2013,15/04/2013,printer,Lantern Printing,"printing, giclee printing, scanning, film scanning",Canterbury Rd,Middle Park,VIC,3206,Australia,-37.848991,144.96448,0402 205 006 (Karl),http://www.lanternprinting.com,Visits by appointment only.,
21,15/04/2013,15/04/2013,printer,Bambra Press,"printing, offset printing, indigo printing",6 Rocklea Dr,Port Melbourne,VIC,3207,Australia,-37.830891,144.921136,03 8698 3233,http://www.bambrapress.com.au,,
22,15/04/2013,15/04/2013,printerBinder,Seagull Press,"printing, letterpress printing, binding",1672 Burwood Hwy,Belgrave,VIC,3160,Australia,-37.909453,145.354437,03 9754 3196,http://www.seagullpress.com.au,,
23,15/04/2013,15/04/2013,materials,Spicers Paper,"paper, supplier",7 Dalmore Drive,Scoresby,VIC,3179,Australia,-37.904246,145.21914,03 9730 9730,http://www.spicers.com.au,,
24,15/04/2013,15/04/2013,binder,Bookart,"binding, leather, cloth, restorations",70 Warwick Rd,Gembrook,VIC,3783,Australia,-37.924398,145.569669,03 5968 1176,http://www.bookart.com.au,,
25,15/04/2013,15/04/2013,printer,Imegen,"printing, t-shirt printing",243 Glenhuntly Rd,Elsternwick,VIC,3185,Australia,-37.883898,144.999297,03 9528 2260,http://www.imegen.com.au,,TRUE
26,15/04/2013,15/04/2013,printer,Triangle Corporation,"printing, plan printing",300 Burwood Rd,Hawthorn,VIC,3122,Australia,-37.822647,145.033573,03 9819 4242,http://www.yellowpages.com.au/vic/hawthorn/triangle-corporation-13872480-listing.html,,
27,15/04/2013,15/04/2013,printerBinder,Impact Digital,"printing, binding",4/306 Albert St,Brunswick,VIC,3056,Australia,-37.769477,144.959139,03 9387 0999,http://www.impactdigital.com.au,,
28,18/04/2013,18/04/2013,printer,Das T-Shirt Automat,t-shirt printing,152 Johnston St,Fitzroy,VIC,3065,Australia,-37.798681,144.979884,0497 070 927,http://dastshirtautomat.com,,
29,22/04/2013,22/04/2013,printer,On Trak,"printing, plan printing, wire binding",1224 Toorak Road,Camberwell,VIC,3124,Australia,-37.84902,145.081201,03 9889 0433,http://www.ontrakprint.com.au,,
30,14/08/2013,14/08/2013,laserCutting,The Make Lab,laser cutting,Level 1 323 Victoria St,Abbotsford,VIC,3067,Australia,-37.809822,144.995808,03 8609 1916,http://www.themakelab.com,Used to be Make Three of Five.,
31,27/08/2013,27/08/2013,printerBinder,Colour Copy Cat,"printing, basic binding and finishing",592 Canterbury Rd,Vermont,VIC,3133,Australia,-37.836418,145.194357,03 9874 0126,http://www.colourcopycat.com,,
32,13/09/2013,13/09/2013,binder,Doncaster Bookbinders,"binding, restorations",1/33 Ebden St,Moorabbin,VIC,3189,Australia,-37.940243,145.067526,03 9555 4633,http://www.doncasterbookbinders.com.au,,
33,13/09/2013,13/09/2013,materials,Ballis Plastics,"acrylic fabrication, moulding, forming, lamination, laser cutting",7 Remont Court,Cheltenham,VIC,3192,Australia,-37.959073,145.07338,03 9583 2216,http://www.ballisplastics.com.au/,,
34,25/09/2013,25/09/2013,printer,CMYKhub,"offset printing, indigo printing",68 Kylta Rd,Heidelberg West,VIC,3081,Australia,-37.729274,145.045591,03 9455 1911,http://www.cmykhub.com,Trade only,
35,8/10/2013,8/10/2013,binder,The Bindery,"binding, finishing",371 Ferntree Gully Rd,Mt Waverley,VIC,3149,Australia,-37.900069,145.138148,03 9544 5611,http://www.bindery.com.au/,Large runs only,
36,29/10/2013,29/10/2013,materials,Spandex,"plastic, vinyl, cutting, specialty printing materials",76 Technology Dr,Sunshine West,VIC,3020,Australia,-37.813016,144.823451,03 9681 9433,http://www.spandex.com/AU/,,
37,23/11/2013,23/11/2013,materials,Plyco (Fairfield),"plywood, supplier",14-20 Abbott St,Fairfield,VIC,3078,Australia,-37.769657,145.028503,03 9499 4997,http://www.plyco.com.au,,
38,13/03/2014,13/03/2014,printer,Digital House,"printing, indigo printing",70 Wirraway Dr,Port Melbourne,VIC,3207,Australia,-37.825114,144.909576,03 9696 9969,http://www.digitalhouse.com.au,,
39,13/03/2014,13/03/2014,printerBinder,Press Print,"printing, indigo printing, finishing, binding, specialty binding",157 Salmon Street,Port Melbourne,VIC,3207,Australia,-37.827135,144.922084,"03 9645 2022, 0408 142 369 Kevin Stevens",http://www.pressprintdigital.com.au,,
40,14/03/2014,16/01/2017,printer,Dawn Press,risograph printing,60 Sydney Road,Brunswick,VIC,3056,Australia,-37.7764433,144.9607302,0408 556 937,http://dawn-press.com,Vists by appointment only.,
41,14/03/2014,14/03/2014,photo,Colour Factory,"photographic printing, film processing, giclee printing",409-429 Gore St,Fitzroy,VIC,3065,Australia,-37.796558,144.983168,03 9419 8756,http://www.colourfactory.com.au,,
42,14/03/2014,14/03/2014,photo,The Edge Photo Imaging,"photographic printing, film processing",34 Bedford St,Collingwood,VIC,3066,Australia,-37.801239,144.984693,03 9416 3399,http://www.theedgephoto.com.au,,
43,14/03/2014,14/03/2014,photo,Hillvale,film processing,,,VIC,,Australia,,,,http://hillvale.com.au,Provides dropboxes around Melbourne for dropping off photographic film for devlopment. See website for more details.,
44,14/03/2014,14/03/2014,laserCutting,Melbourne Laser Cutter,laser cutting,,,VIC,,Australia,,,03 9939 4796,http://melbournelasercutter.com.au,No metal cutting.,
45,10/04/2014,10/04/2014,printer,Taylor'd Press,"offset printing, letterpress printing, finishing",65 Dover St,Richmond,VIC,3121,Australia,-37.827352,144.992076,03 9429 6777,http://www.taylordpress.com/,,
46,17/06/2014,17/06/2014,laserCutting,Aztec Cutting Solutions,"laser cutting, water cutting, oxy cutting, plasma cutting, CNC routing",30/283 Rex Rd,Campbellfield,VIC,3061,Australia,-37.646617,144.962108,03 8339 0516,http://www.aztechcuttingsolutions.com.au,,
47,17/06/2014,17/06/2014,printer,Saint Gertrude Letterpress,letterpress printing,13 Little Gold St,Brunswick,VIC,3056,Australia,-37.7746,144.959721,,http://saintgertrude.com.au,Vists by appointment only.,
48,17/06/2014,17/06/2014,printer,Graphix Labels & Packaging,"labels, wine labels, packaging",7/154 Highbury Rd,Burwood,VIC,3125,Australia,-37.855862,145.112478,03 9808 0888,http://graphixlabels.com.au,Wine label specialists.,
49,17/06/2014,17/06/2014,signage,Delta Neon,"neon, lightbox, signage",121-125 Northern Rd,Heidelberg Heights,VIC,3081,Australia,-37.729584,145.05491,03 9459 2011,http://www.deltaneon.com.au,,
50,17/06/2014,17/06/2014,printer,Gunn & Taylor Printers,"printing, offset printing",4 Aristoc Rd,Glen Waverley,VIC,3150,Australia,-37.884905,145.158722,03 9561 4600,http://www.gunntaylor.com.au,,
51,17/06/2014,17/06/2014,printer,Chapel Press,letterpress printing,10 Horscroft Pl,Moorabbin,VIC,3189,Australia,-37.936208,145.042034,03 9555 9430,http://www.chapelpress.com.au,,
52,17/06/2014,17/06/2014,printer,Finsbury Green,"digital printing, offset printing",Corner Lorimer St and Rogers St,Port Melbourne,VIC,3207,Australia,-37.823353,144.937382,03 9644 9644,http://www.finsbury.com.au,,
53,21/08/2014,21/08/2014,printer,Print Together,"printing, vegetable based inks, offset",71-77 Queens Parade,North Fitzroy,VIC,3068,Australia,-37.792765,144.982075,03 9988 0834,http://www.printtogether.com.au/,Visits by appointment only.,
54,24/09/2014,24/09/2014,printerBinder,Print City,"printing, digital, large format, offset, binding",116 Flinders Lane,Melbourne,VIC,3000,Australia,-37.815475,144.970427,03 9654 3759,http://www.printcity.biz,,
55,30/11/2014,30/11/2014,printer,Distro Print,"printing, risograph printing, t-shirt printing, poster distribution",24 Albert St,Brunswick East,VIC,3057,Australia,-37.770891,144.978651,03 9005 5993,http://www.distroprint.com.au/,,
56,30/11/2014,30/11/2014,binder,Melbourne School of Bookbinding,"binding, restorations, finishing",1/13 St Leonards Ave,St Kilda,VIC,3182,Australia,-37.863119,144.977526,03 9534 5889,http://ortbindery.com/,,
57,30/11/2014,30/11/2014,printerBinder,Courtney Colour,"printing, indigo printing, binding, packaging",1-3 Edison Rd,Dandenong South,VIC,3175,Australia,-38.042973,145.219723,03 9768 3038,http://www.courtneycolour.com.au,,
58,30/11/2014,30/11/2014,binder,Marvel Binding,binding,21 Kylta Rd,Heidelberg West,VIC,3081,Australia,-37.731804,145.044294,03 9450 7700,http://www.marvelbinding.com.au/,,
59,30/11/2014,30/11/2014,printer,PMI Digital Printing,"digital printing, offset printing",400 George St,Fitzroy,VIC,3065,Australia,-37.797519,144.982353,03 8412 9700,http://pmicorp.com.au/,,
60,1/06/2015,1/06/2015,printer,Avon Graphics,"large format printing, embossing, die cutting, holographic foil, coatings, specialty prepress",34 Kingsley Close,Rowville,VIC,3178,Australia,-37.910062,145.234621,03 9764 1445,http://www.avongraphics.com.au/,,
61,8/06/2015,8/06/2015,printer,The Club of Odd Volumes,"garment printing, textile printing",,,VIC,,Australia,,,,http://theclubofoddvolumes.com/,Online ordering and delivery.,
62,31/10/2015,31/10/2015,printer,Tee Junction,digital t-shirt printing,36 Hayward Road,Ferntree Gully,VIC,3156,Australia,-37.87995,145.265763,1300 115 755,http://www.teejunction.com.au,,